IATA,ICAO,ST/CO,CITY,FUELER,EFFECTIVE DATE,EXPIREDT,RESTRICTIONS,BASEFUEL,MIN GALLONS,MAX GALLONS,TOTAL PRICE,NOTES,Taxes Included
TGE,006A,AL,Tuskegee,CITY OF TUSKEGEE,7/3/2025,12/31/2025,Corporate,CALL,1,99999,CALL,FUEL RELEASE REQUIRED. PLEASE CONTACT AEG DISPATCH FOR VALID FUEL PRICE FOR FUELING. PRICE SUBJECT TO CHANGE AT ANY TIME. ,No
7FA,07FA,FL,KEY LARGO,OCEAN REEF CLUB,12/9/2025,12/15/2025,Corporate,2.943620,1,99999,5.227231,"IF AMPLE NOTICE IS NOT PROVIDED, A NO SHOW AND CANCELLATION FEE, EQUIVALENT TO THE APPROPRIATE LANDING FEE WILL BE CHARGED. JET SLOTS MUST BE CANCELLED BY 0800 ON THE DAY PRIOR TO THE DATE OF THE RESERVATION. ",Yes
HIR,AGGH,SB,HONIARA,SOUTH PACIFIC OIL LTD,12/1/2025,12/31/2025,Corporate,4.666787,1,99999,4.666787,48 HOUR NOTICE REQUIRED TO CONFIRM FUELINGS. PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY FOR INTERNATIONAL FLIGHTS. DOMESTIC / INTERNAL FLIGHTS INCUR 15% GST AND SALES TAX ,Yes
INU,ANYN,NR,NAURU,FSM PETROLEUM CORP.,11/10/2025,12/9/2025,Corporate,3.840166,1,264171,5.777423,Delivery Charge: 100.00 AUD/Flight // Price inclusive of all taxes and fees known to apply for international flights.  Please note that fuel pricing is subject to change based on the receipt date of jet fuel cargoes and so may update prior to the price expiration date.  Please contact dispatch@aegfuels.com for more information on locking in pricing on a forward planning basis. ,No
BUA,AYBK,PG,BUKA,PUMA ENERGY,12/8/2025,1/7/2026,Corporate,CALL,1,99999,CALL,"DOMESTIC FLIGHTS INCUR 10% GST. OPERATING HOURS MON-SUN 0600L-1800L. $150 AFTER HOURS FEE MAY APPLY. $25 LOW UPLIFT FEE FOR < 1500 LTRS. $15 HOOK UP FEE. $15 CHARGE PER TICKET REQUEST.

UPLIFT DATE FALLING ON MONDAY TO FRIDAY -FUELING REQUEST MUST BE SENT 24 HOURS  

UPLIFT DATE FALLING ON SATURDAY AND SUNDAY – REQUEST MUST BE SENT 48 HOURS PRIOR TO THE FUELING DATE. ",Yes
HKN,AYHK,PG,HOSKINS,PUMA ENERGY,12/8/2025,1/7/2026,Corporate,CALL,1,99999,CALL,"DOMESTIC FLIGHTS INCUR 10% GST. OPERATING HOURS MON-SUN 0600L-1800L. $150 AFTER HOURS FEE MAY APPLY. $25 LOW UPLIFT FEE FOR < 1500 LTRS. $15 HOOK UP FEE. $15 CHARGE PER TICKET REQUEST.

UPLIFT DATE FALLING ON MONDAY TO FRIDAY -FUELING REQUEST MUST BE SENT 24 HOURS  

UPLIFT DATE FALLING ON SATURDAY AND SUNDAY – REQUEST MUST BE SENT 48 HOURS PRIOR TO THE FUELING DATE. ",Yes
UNG,AYKI,PG,KIUNGA,PACIFIC ENERGY SWP - INTL,12/8/2025,1/7/2026,Corporate,7.336134,1,999999,7.336134,48 HOUR NOTICE REQUIRED. PRICING INCLUSIVE OF ALL TAXES AND FEES FOR INTERNATIONAL OUTBOUND FLIGHT AND CHANGES WITH DAILY EXCHANGE RATES.  10% GST ADDITIONAL FOR DOMESTIC FLIGHTS. ,No
UNG,AYKI,PG,KIUNGA,PUMA ENERGY,12/8/2025,1/7/2026,Corporate,CALL,1,99999,CALL,"DOMESTIC FLIGHTS INCUR 10% GST. OPERATING HOURS MON-SUN 0600L-1800L. $150 AFTER HOURS FEE MAY APPLY. $25 LOW UPLIFT FEE FOR < 1500 LTRS. $15 HOOK UP FEE. $15 CHARGE PER TICKET REQUEST.

UPLIFT DATE FALLING ON MONDAY TO FRIDAY -FUELING REQUEST MUST BE SENT 24 HOURS  

UPLIFT DATE FALLING ON SATURDAY AND SUNDAY – REQUEST MUST BE SENT 48 HOURS PRIOR TO THE FUELING DATE. ",Yes
KVG,AYKV,PG,KAVIENG,PUMA ENERGY,12/8/2025,1/7/2026,Corporate,CALL,1,99999,CALL,"DOMESTIC FLIGHTS INCUR 10% GST. $25 LOW UPLIFT FEE FOR < 1500 LTRS. $15 HOOK UP FEE. $15 CHARGE PER TICKET REQUEST.

UPLIFT DATE FALLING ON MONDAY TO FRIDAY -FUELING REQUEST MUST BE SENT 24 HOURS  

UPLIFT DATE FALLING ON SATURDAY AND SUNDAY – REQUEST MUST BE SENT 48 HOURS PRIOR TO THE FUELING DATE. ",Yes
MAG,AYMD,PG,MADANG,PUMA ENERGY,12/8/2025,1/7/2026,Corporate,6.782514,1,99999,6.782514,"DOMESTIC FLIGHTS INCUR 10% GST. OPERATING HOURS MON-SUN 0600L-1800L. $150 AFTER HOURS FEE MAY APPLY. $25 LOW UPLIFT FEE FOR < 1500 LTRS. $15 HOOK UP FEE. $15 CHARGE PER TICKET REQUEST.

UPLIFT DATE FALLING ON MONDAY TO FRIDAY -FUELING REQUEST MUST BE SENT 24 HOURS  

UPLIFT DATE FALLING ON SATURDAY AND SUNDAY – REQUEST MUST BE SENT 48 HOURS PRIOR TO THE FUELING DATE. ",Yes
