ICAO,FBO,TIER,PRICE,NAME,
07FA,OCEAN REEF CLUB,1,5.28087,,
9TE2,THE JL BAR RANCH & RESORT AIRPORT,1,5.95047,,
9TE2,THE JL BAR RANCH & RESORT AIRPORT,251,5.84672,,
9TE2,THE JL BAR RANCH & RESORT AIRPORT,501,5.74297,,
9TE2,THE JL BAR RANCH & RESORT AIRPORT,1001,5.69109,,
AGGH,SOUTH PACIFIC OIL LTD (FUEL ONLY),1,5.13228,48 HOUR NOTICE REQUIRED TO CONFIRM FUELINGS. PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY FOR INTERNATIONAL FLIGHTS. DOMESTIC / INTERNAL FLIGHTS INCUR 15% GST AND SALES TAX,
BGAA,GREENLAND AIRPORTS,1,7.72653,PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY AND IS SUBJECT TO CHANGE WITH EXCHANGE RATE FLUCTUATION. PRICE IS SUBJECT TO CHANGE AT ANYTIME.,
BGBW,GREENLAND AIRPORTS,1,7.72653,PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY AND IS SUBJECT TO CHANGE WITH EXCHANGE RATE FLUCTUATION.  BGBW OPERATING HOURS MONDAY?SATURDAY FROM 1100Z-2000Z,
BGCO,GREENLAND AIRPORTS,1,7.72653,PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY AND IS SUBJECT TO CHANGE WITH EXCHANGE RATE FLUCTUATION,
BGJN,GREENLAND AIRPORTS,1,7.72653,PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY AND IS SUBJECT TO CHANGE WITH EXCHANGE RATE FLUCTUATION,
BGKK,GREENLAND AIRPORTS,1,7.72653,PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY AND IS SUBJECT TO CHANGE WITH EXCHANGE RATE FLUCTUATION,
BGMQ,GREENLAND AIRPORTS,1,7.72653,PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY AND IS SUBJECT TO CHANGE WITH EXCHANGE RATE FLUCTUATION,
BGPT,GREENLAND AIRPORTS,1,7.72653,PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY AND IS SUBJECT TO CHANGE WITH EXCHANGE RATE FLUCTUATION,
BGQQ,GREENLAND AIRPORTS,1,7.78776,PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY AND IS SUBJECT TO CHANGE WITH EXCHANGE RATE FLUCTUATION,
BGSS,GREENLAND AIRPORTS,1,7.72653,PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY AND IS SUBJECT TO CHANGE WITH EXCHANGE RATE FLUCTUATION,
BGUK,GREENLAND AIRPORTS,1,7.72653,PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY AND IS SUBJECT TO CHANGE WITH EXCHANGE RATE FLUCTUATION,
BGUQ,GREENLAND AIRPORTS,1,7.72653,PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY AND IS SUBJECT TO CHANGE WITH EXCHANGE RATE FLUCTUATION,
BIAR,SKELJUNGUR OIL COMPANY,1,4.50613,INTERNAL FLIGHTS INCUR 24% VAT. PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY. OVERTME FEE OF 600.00 USD/LIFT CHARGED FROM 18:30 UNTIL 07:00. HOOKUP FEE 20 USD,
BIEG,SKELJUNGUR OIL COMPANY (FUEL ONLY),1,5.14938,INTERNAL FLIGHTS INCUR 24% VAT.PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY.OVERTME FEE OF 600.00 USD/LIFT CHARGED FROM 18:30 UNTIL 07:00.HOOKUP FEE 20 USD,
BIHN,SKELJUNGUR OIL COMPANY (FUEL ONLY),1,6.26988,INTERNAL FLIGHTS INCUR 24% VAT.PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY.OVERTME FEE OF 596.00 USD/LIFT CHARGED FROM 18:30 UNTIL 07:00. 200 USD/UPLIFT HOOKUP FEE,
BIIS,SKELJUNGUR OIL COMPANY (FUEL ONLY),1,5.20126,INTERNAL FLIGHTS INCUR 24% VAT.PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY.OVERTME FEE OF 596.00 USD/LIFT CHARGED FROM 18:30 UNTIL 07:00. HOOK UP FEE 20 USD,
BIKF,E.A.K. (SKELJUNGUR) (FUEL ONLY),1,3.29568,INTERNAL FLIGHTS INCUR 24% VAT.PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY. COMMERCIAL AIRCRAFT ARE ONLY FUELED BY TRUCK DURING PEAK HOURS.  ALL CORPORATE (GA) AIRCRAFT ARE FUELED BY TRUCK. HOOK UP FEE 61.33 USD/UPLIFT.,
BIKF,ICELAND JET CENTER,1,3.29568,INTERNAL FLIGHTS INCUR 24% VAT.PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY. COMMERCIAL AIRCRAFT ARE ONLY FUELED BY TRUCK DURING PEAK HOURS.  ALL CORPORATE (GA) AIRCRAFT ARE FUELED BY TRUCK. HOOK UP FEE 61.33 USD/UPLIFT.,
BIRK,OLIS (ICELAND OIL) (FUEL ONLY),1,3.58851,,
BIRK,SKELJUNGUR (FUEL ONLY),1,3.87326,INTERNAL FLIGHTS INCUR 24% VAT.PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY. OVERTME FEE OF 600.00 USD/LIFT CHARGED FROM 18:30 UNTIL 07:00. HOOKUP FEE 20USD,
CYAM,EXECUTIVE AVIATION FUELS LTD,1,4.84510,1) Operating Hours:HRS: 0600-1900 DAILY. AVBL AFTER HR CALL OUT CHARGE APPLY 249-889-1244 2) Ramps serviced:ALL 3) Additional Information: FOR MORE INFORMATION PLEASE CONTACT YOUR LOCAL FUEL LOGISTICS TEAM AT fuel24@wfscorp.com,
CYAM,JD AERO TECHNICAL INC,1,4.68968,,
CYBC,AVJET HOLDING INC,1,5.74946,,
CYBG,AVJET HOLDING INC,1,5.59278,,
CYCD,ENEX AVIATION,1,3.76105,,
CYCH,MIRAMICHI AIRPORT,1,6.66460,MTOW < 42KGS AND ALL PART 91 AIRCRAFT.,
CYCL,AVJET HOLDING INC,1,5.08750,,
CYCL,CHARLO AIRPORT COMM,1,5.61330,$175 CALLOUT FEE WHEN APPLICABLE,
CYDF,WOODWARD AV SVCS,1,6.12125,,
CYDF,WOODWARD AV SVCS,265,5.74775,,
CYDF,WOODWARD AV SVCS,529,5.49875,,
CYDF,WOODWARD AV SVCS,1321,5.33275,,
CYEG,AIRSIDE FLIGHT SERVICES,1,4.14482,N/A,
CYEG,EXECUTIVE FLIGHT CENTRE,1,3.69782,Hook Up Fee / Aircraft $55.00,
CYEG,SHELL AEROCENTRE FBO,1,4.23953,45 CAD HOOKUP FEE ADDITIONAL. 100 CAD NO FUEL FEE,
CYEG,SHELL AEROCENTRE FBO,1585,4.23953,45 CAD HOOKUP FEE ADDITIONAL. 100 CAD NO FUEL FEE,
CYFC,MENZIES - YFC,1,5.48907,**Minimum fee applies at this location** 1) Minimum Notice Required:N/A 2) Ramps serviced:EVERYWHERE ON THE AIRFIELD 3) Additional Information: FOR MORE INFORMATION PLEASE CONTACT YOUR LOCAL FUEL LOGISTICS TEAM AT fuel24@wfscorp.com ..,
CYGK,CENTRAL AIRWAYS,1,6.19642,1) Minimum Notice Required:NONE 2) Ramps serviced:THEIR OWN RAMP ONLY 3) Additional Information: PRIST AVAILABLE // HOURS OF OPERATION: M-F 0500L - 2100L // Sat-Sun 0800L-2100L...(Hrs change in October) CALL OUT FEE APPLIES TO ALL TRANSACTIONS HANDLED OUTSIDE OF THE REGUALR OPERATING HOURS. CONTACT FBO FOR THE OUT OF HOURS FEE SCHEDULE Formerly an ESSO/AVITAT FBO FOR MORE INFORMATION PLEASE CONTACT YOUR LOCAL FUEL LOGISTICS TEAM AT fuel24@wfscorp.com,
CYGV,AVJET HOLDING INC,1,5.87771,,
CYHD,MORGAN AVIATION,1,5.93617,Any urgent info: 1) Minimum Notice Required: NONE 2) Ramps serviced: OWN RAMP 3) Additional Information: PRIST is available after hours service is available call FBO for pricing. Formerly an ESSO/AVITAT FBO FOR MORE INFORMATION PLEASE CONTACT YOUR LOCAL FUEL LOGISTICS TEAM AT fuel24@wfscorp.com,
CYHM,HAMILTON JETPORT LTD,1,4.81553,Due to the dynamic nature of the exemptions granted to many operators the prices are exclusive of all duties taxes and fees unless otherwise specified.,
CYHM,HAMILTON JETPORT LTD,265,4.75187,Due to the dynamic nature of the exemptions granted to many operators the prices are exclusive of all duties taxes and fees unless otherwise specified.,
