"TIA","Albania","AV INTERNATIONAL-A/AV INTERNATIONAL/","1","3.35834","**Perflight Fees are not included.  HOOK-UP FEE: 10** **Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Hours of Operation: From 07:00 to 23:00 Monday to Sunday (Except holidays) & On call 24 /7 2) Ramps serviced: All ramps. 3) Additional Information: Below fees may apply: Refuelling outside Operating schedule time Refuelling on Official Bank Holiday Refuelling below 1.000 Liter No fuel charge (In case no refuel outside operating hours request or in case the operators goes underwing to the operator request) Refuelling with passengers during embarking, disembarking, on board. Excise and Carbon Tax VAT for Domestic flights. For more information please contact your local fuel logistics team on fuel24@wfscorp.com","31-Dec-25"
"421","Algeria","NAFTAL-A/NAFTAL SPA/","1","2.99538","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) ITP Operating Hours:: 24h/7 Operation. 2) Additional Information: A per flight applies to all fueling that occurs before 0700am and after 1900pm . VAT applies for domestic flights For more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-Dec-25"
"421","Algeria","NAFTAL-A/NAFTAL SPA/","265","2.89538","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) ITP Operating Hours:: 24h/7 Operation. 2) Additional Information: A per flight applies to all fueling that occurs before 0700am and after 1900pm . VAT applies for domestic flights For more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-Dec-25"
"717","Algeria","NAFTAL-A/NAFTAL SPA/","1","3.07108","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Operating hours: 24h/7 2) Additional Information: Night time fee may apply. The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. Cost is passed on and is non-refundable Fees are subject to change without prior notice For more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-Dec-25"
"717","Algeria","NAFTAL-A/NAFTAL SPA/","265","2.97108","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Operating hours: 24h/7 2) Additional Information: Night time fee may apply. The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. Cost is passed on and is non-refundable Fees are subject to change without prior notice For more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-Dec-25"
"AAE","Algeria","NAFTAL-A/NAFTAL SPA/","1","3.02928","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Operating Hours: 24h/7 Additional Comments: Night time fee may apply. VAT on domestic flights Fees are subject to change without prior notice For more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-Dec-25"
"AAE","Algeria","NAFTAL-A/NAFTAL SPA/","265","2.92928","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Operating Hours: 24h/7 Additional Comments: Night time fee may apply. VAT on domestic flights Fees are subject to change without prior notice For more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-Dec-25"
"ALG","Algeria","NAFTAL-A/NAFTAL SPA/","1","3.01528","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Operation hours: ITP 24/7 OPERATION 2) Additional Information: Airport also known as `Dar El Beida` . Night time fee may apply VAT applies on domestic flights Fees are subject to change without prior notice For more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-Dec-25"
"ALG","Algeria","NAFTAL-A/NAFTAL SPA/","265","2.91528","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Operation hours: ITP 24/7 OPERATION 2) Additional Information: Airport also known as `Dar El Beida` . Night time fee may apply VAT applies on domestic flights Fees are subject to change without prior notice For more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-Dec-25"
"AZR","Algeria","NAFTAL-A/NAFTAL SPA/","1","3.49428","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) ITP Operating Hours: 24h/7 2) Additional Information: A per flight applies to all fueling that occurs before 0700am and after 1900pm VAT applies for domestic flights Fees are subject to change without prior notice For more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-Dec-25"
"AZR","Algeria","NAFTAL-A/NAFTAL SPA/","265","3.39428","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) ITP Operating Hours: 24h/7 2) Additional Information: A per flight applies to all fueling that occurs before 0700am and after 1900pm VAT applies for domestic flights Fees are subject to change without prior notice For more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-Dec-25"
